id,id_prompt,essay_title,essay_text,grades,essay_year
5.html,violencia-e-drogas-o-papel-do-usuario,Ultimamente temos observado um aumento,"Ultimamente, temos observado, um aumento considerável de adolescentes envolvidos com drogas, e o que é mais grave traficando entorpecentes, de maneira desafiadora, demonstrando total desrespeito ao estado de direito, usando armas, atirando contra policia, matando sem piedade, sob argumento que sua punição é diminuta. sob esta ótica, tornam-se verdadeiros facínoras, criam quadrihas etc.
 Brasil, país em que o trafico toma conta de uma parte das grandes metrópoles e que os usuários de drogas estão por todo lugar, há pessoas que defendem o fato de que essas pessoas lá no passado não tiveram uma oportunidade da sociedade para ser “alguém na vida”, já outras falam que isso acontece por influencia de amigos, mas o que ninguém fala é que nós aprendemos a ir no mais fácil, me diga, se você ver uma moeda de um real no chão e do lado uma sédula de dois reais embaixo de uma pedra, eu você e qualquer outra pessoa vai pegar a moeda primeiro, até parece um modo meio tolo de explicação, mas se parar para analisar reflete bem o que a maioria de nós somos.",[0 0 0 0 0 0],2018
12.html,violencia-e-drogas-o-papel-do-usuario,A violência por um ponto de vista otimista,"Infelizmente, no Brasil, na maioria dos lugares onde vamos notamos o alto nível da violência. Apesar de existir conflitos em solo brasileiro desde o início de nossa colonização, não podemos deixar de lutar por um país melhor e podemos conseguir através de um investimento melhor no sistema de educação.
Segundo Immanuel Kant, o homem não é nada alem daquilo que a educação faz dele. Partindo desse pensamento nos resta investir mais no ensino de nossas crianças, exigindo que dedique-se nos estudos, colocando-as em cursinhos ou se for o caso tomando aulas de reforço.
Jean Paul Sartre foi sábio em dizer: A violência independente de qual for, é furto da ignorância. Assim o Governo deve disponibilizar fundos suficientes para suprir o defasado ensino brasileiro, para que os orgãos competêntes com DRE invistam nas escolas, concomitante a violência diminuirá E a questão da maioridade penal ficaria em segundo plano.
Com base nos fatos mencionados, o Brasil, por sua vez, juntamente com os pais ou responsáveis devem investir mais no Estado, dando ênfase na juventude, uma vez que essa fará a diferença proprocionando bem estar e segurança para as futuras gerações. Ademais o interesse por parte dos jovens é imprescindível. ",[0 0 0 0 0 0],2018
19.html,violencia-e-drogas-o-papel-do-usuario,Violência gera violência,"Em todos os lugares do Brasil temos violência, incluindo os usuários de drogas.
A segurança pública contra traficante e vice-versa, formando a guerra entre eles e trazendo a morte dos dois lados, temos casos da segurança invadindo as comunidades e atirando para todos sem nem querer saber se é inocente, e traficantes indo atrás de quem matou aquelas pessoas. Existe drogas em todo o Brasil e usuários, e assim gerando a guerra, até entre as famílias por causa do vício, sempre haverá comprador é assim trazendo o vendedor.
O Brasil tem que melhorar no sistema público para que a violência diminua e discutir sobre a legalização de drogas, pois a droga é proibida, mas continua no Brasil.",[0 0 0 0 0 0],2018
5.html,por-que-os-jovens-querem-deixar-o-brasil,O país do futuro,"No Brasil, o número de cidadãos que querem migrar para outros países tem crescido drasticamente.
Atualmente, o território brasileiro vem enfrentando uma crise desde séculos passados, como a queima do café em 1931 e a queda do PIB (produto interno bruto). Tais fatores, formalizaram a encomia do Brasil se estagnar durante anos. A problemática é que com a queda do capital, o desemprego cresceu, pois, os governos reduziram o número de servidores contratados.
Todavia, pesquisas realizadas pelo IBGE mostram que um quinto dos jovens brasileiros não estudam e não trabalham. O problema vem sendo que os jovens do Brasil não querem arrumar um emprego. Entretanto, para a preparação, formação e educação de um cidadão, a vida exigirá investimentos seguido por anos. 
Como já dizia a música do famoso cantor Renato Russo: “O Brasil é um país do futuro”. Um país que vem acomodando grande parte de seu povo pela falta de investimentos na infraestrutura e deficiências na educação. Em destarte, vista tal situação, a maioria dos cidadãos hesitam por mais uma espera de décadas de conversão e optam assim por deixarem seu país de origem. 
Portanto, medidas precisam ser tomadas para resolver o impasse. Novas leis deveriam ser aplicadas pelo Ministério Do Trabalho, possibilitando vagas de emprego para jovens ainda inexperientes. Assim dando novas oportunidades. Por ora, o MEC realizaria nas escolas públicas a verificação do ensino aplicado nos jovens acompanhando o desenvolvimento dos envolvidos. Em suma, a formação do jovem de hoje é a construção de uma sociedade de amanhã. ",[0 0 0 0 0 0],2018
19.html,por-que-os-jovens-querem-deixar-o-brasil,A canção do sabiá,"Com apenas 20 anos de idade, o poeta romântico Gonçalves Dias compôs, no século XIX, a “Canção do exílio”, expressão do sentimento nacionalista de retorno à pátria amada. Caso o poeta vivesse no Brasil atual, dificilmente rogaria à Deus para que não morresse antes de voltar aos trópicos. Segundo pesquisa Datafolha, a maioria dos jovens brasileiros – entre 16 a 24 anos – querem deixar o país, abandonar as palmeiras e os sabiás em nome do sucesso que raramente encontram cá, mas é abundante lá. Afinal, o que motiva esses jovens?
O Brasil foi construído sob a miscigenação de diferentes povos. Imigrantes portugueses, espanhóis, japoneses, italianos, entre tantas outras culturas vieram em busca da prosperidade que não desfrutavam em seus países. As Grandes Guerras do século passado, a fome e as perseguições políticas forçaram muitas famílias a cruzarem o Atlântico rumo ao recomeço de vida. Sem dúvida, as crises são fatores preponderantes na decisão de abandonar a própria pátria.
Dessa forma, a crise brasileira desmotiva sobretudo a juventude. O sistema de ensino público, carente de investimento, não instiga o jovem a produzir e transmitir conhecimentos. Universidades sucateadas, como a UERJ, são reflexos de um Estado omisso e despreocupado em garantir a formação intelectual da população. Ademais, mesmo com um diploma, conseguir o primeiro emprego não é fácil: a especialização exigida afunila, cada vez mais, a competição no mercado de trabalho. Estudar, trabalhar e aposentar: no Brasil, sinônimos de frustrações.
Inclusive, no clima de desesperança, nuvens negras do fascismo e da intolerância já são vistas no horizonte. A juventude assiste ao despontar de lideranças autoritárias, cujos discursos já se ouviram na ditatura: “Brasil, ame-o ou deixe-o”. Inevitavelmente, com a democracia ameaçada, a educação abandonada e o emprego que mal paga as contas não bastam estrelas, flores ou amores suficientes para permanecer no Brasil.
Assim, torna-se evidente que, sem estímulos, cada vez mais jovens abandonarão a pátria rumo aos países desenvolvidos. Lá, encontrarão boas escolas, universidades e empregos, além de impostos menores (comparados aos brasileiros); enfim, encontrarão oportunidades de ascensão social. Somente quando o Brasil ofertar dignidade para a sua juventude não haverá fuga da nova geração. Caso contrário, quem ouvirá a canção do sabiá?",[ 200  200  200  200  200 1000],2018
7.html,epidemia-alimentar-sobrepeso-e-obesidade,"Obesidade, um problema a ser combatido","No Brasil, nos últimos anos, podemos abservar um aumento no número de pessoas que sao cosideradas acima do peso e também de obesos. Cabe então aqui discutirmos sobre as causas, consequências e possiveis soluções para o problema.
Segundo pesquisa realizada pelo IHME, Instituto de Métrica e Avaliação para a saúde, 30% da população é obesa. As principais causas desse problema é o sedentarismo atrelado a os maus hábitos alimentares. Além dos distúrbios hormonais que também podem causar aumento na massa corporal.
Com isso, vem as consequências que são, na maioria das vezes, sociais e de saúde, aonde o indivíduo acometido com a doença sofre tanto com problemas derivados do acúmulo de gordura como o diabetes, artrite e artrose quanto a exclusão social, devido ao não enquadramento nos padrões de beleza virgentes.
Com base no apresentado, é necessário, para que esse problema seja resolvido que o ministério da saúde implemente campanhas de conscientização quanto as consequências dos maus hábitos alimentares.",[120 120 120 120 120 600],2018
3.html,epidemia-alimentar-sobrepeso-e-obesidade,Sobrepeso e obesidade: uma realidade que pode ser acabada,"A obesidade é uma realidade enfrentada por cerca de 20% da população brasileira, e o sobrepeso atingiu mais de 54% da população, ou seja, mais da metade dos brasileiros sofrem com peso inadequado para seu biótipo. A cada cinco brasileiros, um é obeso. Segundo pesquisas realizadas pelo Ministério da Saúde, nos últimos 10 anos a prevalência da obesidade no Brasil aumentou em 60%. Isto são números preocupantes já que o acúmulo de gordura elevado interfere na saúde e no bem-estar dos seres humanos. 
O sobrepeso e a obesidade estão ligados diretamente à economia. Muitas empresas e comércios investem em alimentos com alto teor de gordura e açúcar, porque são alimentos altamente consumidos e com preços menos elevados, já que alguns alimentos da área ""fitness'' possuem valores altos e sabores desagradáveis. Com esses preços elevados, alguns alimentos se tornam inacessíveis para a população mais pobre, fazendo com que os mesmos se alimentem de produtos industrializados e com pouco índice nutritivo por serem mais baratos e mais saborosos.
A maioria dos brasileiros são sedentários, isto é, não fazem nenhum tipo de atividade física, facilitando o aumento de peso e problemas de saúde, como índice de gordura alto, pressão alta, colesterol alto, e outros fatores que surgem devido ao peso alto e a falta de praticar esportes. Também é comum a falta de acompanhamento médico para as pessoas que são acima do peso, dificultando o emagrecimento e a reeducação alimentar. 
Portanto, medidas devem ser tomadas para reduzir o número de pessoas acima do peso. As indústrias devem mexer o mínimo possível no alimento que chega das fazendas para que se mantenha os valores nutritivos conservados; os comércios podem reduzir os preços dos produtos para que se tornem acessíveis à toda população e as prefeituras devem fornecer atividades físicas em áreas públicas e também devem oferecer acompanhamento médico aos cidadãos uma vez por mês, gratuitamente, para garantir a saúde de todos. ",[160 120  80 120  80 560],2018
18.html,epidemia-alimentar-sobrepeso-e-obesidade,Um risco de vida,"No Brasil, estamos vivenciando mortes de pessoas por causa de obesidade. Milhares de indivíduos estão com o seu peso lá nas alturas e é preciso ter muito cuidado, porque é algo preocupante. Crianças, jovens e adolescentes comem de tudo, sem saber que aquele alimento pode comprometer à sua saúde.
Os pais devem cuidar a alimentação dos seus filhos e oferecer somente comidas saudáveis. Nada de frituras, doces e refrigerantes diariamente. Eles devem comer frutas, verduras e saladas. Claro que nem todo mundo é igual e não aceitam com facilidade o que oferecemos, mas é necessário tentar várias vezes o alimento para que ele experimente. Pode ser um processo complicado no início, porém mais tarde veremos que valeu a pena, porque ele não irá adquirir doenças como: diabetes, colesterol e pressão alta no decorrer da sua vida.
Para que não conquistamos a obesidade, devemos praticar atividades físicas ou esportes, mudar a nossa rotina de alimentação e procurar ajuda de algum profissional especializado. Com isso, iremos ter mais qualidade de vida e mais disposição. Todo cuidado é pouco no mundo de hoje e podemos até evitar mortes causadas pelo sobrepeso. É importante também, que ajudamos quem sofre com essas causas. Temos que cuidar da nossa saúde, para sempre vivermos bem sem nenhum problema.",[120 120 120 120 120 600],2018
4.html,epidemia-alimentar-sobrepeso-e-obesidade,Causas e soluções relacionadas a epidemia alimentar.,"Ao se propor uma reflexão sobre o índice crescente de sobrepeso e obesidade na escala de doenças atuais, verifica-se a necessidade de conter esse crescimento. Nesse sentido, é necessário analisar as causas e as soluções a fim de se combater essa epidemia.
É preciso avaliar, primeiramente, que a obesidade é uma doença causada não apenas pelo excesso de alimentos consumidos, mas também, por questões hormonais e psicológicas envolvidas. Atualmente, no mundo capitalista, onde o acesso a alimentos industrializados é mais rápido e de fácil aquisição, adultos e crianças se tornam vítimas da obesidade e sobrepeso pelo consumo constante desses alimentos de alto níveis calóricos e prejudiciais à saúde. Além disso, o estresse e alterações hormonais de difícil diagnóstico são exemplos da compulsividade alimentar que geram o sobrepeso e, através dele, problemas de saúde e aceitação diante da população, principalmente pelos padrões de beleza preconizados nas mídias.
Outro ponto que merece destaque são as soluções para se combater essa epidemia. É preciso uma reeducação alimentar em escolas e ambiente familiar com o intuito de expor a necessidade de uma alimentação mais saudável. Ter um acompanhamento psicológico é essencial na inclusão do tratamento aos obesos, além de priorizar consultas médicas que visem diagnosticar e solucionar alterações hormonais através de campanhas educativas e inserção de programas governamentais vinculados tanto na preservação quanto na recuperação desses pacientes.
Verifica-se, portanto, que o sobrepeso e a obesidade são questões de saúde pública e merecem atenção dos governantes. Afinal, obter hábitos alimentares corretos resultam em uma vida mais saudável e assim diminuem os custos com doenças secundárias como a hipertensão, diabetes tipo II, esteatose hepática dentre ",[160 160 160 160 120 760],2018
5.html,epidemia-alimentar-sobrepeso-e-obesidade,Efeitos da globalização nos hábitos alimentares,"A epidemia global de sobrepeso e obesidade vem se intensificando na maioria dos países como consequência principalmente da mudança de hábitos alimentares e comportamentais das últimas décadas e do aumento da disponibilidade de comida rápida, barata e altamente processada.
Com a intensa globalização, os hábitos de vida das pessoas sofreram grandes transformações. Aplicativos de entrega rápida, maior socialização online, trabalho em casa ou mais restrito à cadeira em frente a um computador; todas essas mudanças diminuíram a necessidade de locomoção e, consequentemente, o esforço e gasto calórico, de acordo com pesquisa da London School of Economics (LSE). É visível, ainda, a relação com alteração da qualidade do sono, pois esse vem sendo interrompido por notificações de celular, por exemplo, interferindo na produção de hormônio melatonina, responsável pelo sono reparador. Assim, a pessoa acorda cansada, e com necessidade de consumir alimentos energéticos, contribuindo para a escalada do aumento de peso que é vista em todo o mundo.
Além disso, a facilidade de acesso e aquisição de comida processada e altamente calórica é um fator determinante para explicar a presente epidemia de obesidade e sobrepeso. Segundo pesquisa do Centro Rudd de Políticas Alimentares e Obesidade da Universidade de Connecticut, nos Estados Unidos, um dos fortes indicadores de obesidade em uma região é a presença de pântanos alimentares, que são áreas com alta densidade de estabelecimentos com comida barata e calórica - os ""fast foods"". Alia-se à isso o aumento da renda populacional - no Brasil, o poder de compra da classe média cresceu 71% entre 2005 e 2015, segundo pesquisa do Instituto Data Popular - e a necessidade de comidas rápidas devido ao menos tempo disponível que vem da mudança de hábitos advinda da globalização, de acordo com Cláudio Mottin, diretor do Centro de Obesidade e Síndrome Metabólica do Hospital São Lucas da Pontifícia Universidade Católica do Rio Grande do Sul (PUC-RS). Todas essas mudanças expõem causas determinantes para o crescimento dos níveis de sobrepeso e obesidade mundiais.
Tal crescimento nos números de obesos e com sobrepeso deve ser combatido com medidas positivas da Organização Mundial de Saúde (OMS) e do Governo como um todo, impondo restrições qualitativas e quantitativas às indústrias alimentícias, promovendo reeducação alimentar nas escolas e apoio nutricional completo pelo Sistema Único de Saúde (SUS). Assim, aos poucos, a população vai reaprendendo e se readaptando às suas atuais necessidades alimentares.",[ 200  200  200  200  200 1000],2018
17.html,epidemia-alimentar-sobrepeso-e-obesidade,O desafio de combater a obesidade,"A sociedade contemporânea vem enfrentando alguns desafios que se referem muitas vezes a um estilo de vida adotado pela própria população, a epidemia da obesidade é um desses desafios.
Com o tempo cada vez mais escasso, muitas pessoas acabam trocando uma alimentação saudável e balanceada, por restaurantes fast food, que em sua grande maioria oferecem alimentos pobres em nutrientes e ricos em calorias, entre eles, o mais comum é o hambúrguer com batata frita. A mídia também explora em seus comerciais, o consumo de alimentos altamente calóricos e industrializados, que reflete em obesidade de jovens e crianças que são muito influenciados por ela.
O resultado disso é uma população com problemas de sobrepeso e obesa, que precisa enfrentar problemas maiores relacionados a esse mal, pois a obesidade é porta de entrada para doenças mais graves como as cardíacas e o diabetes.
Para combater a obesidade é preciso que o governo invista na educação alimentar desde o ensino básico, que apontem os benefícios de uma dieta balanceada e saudável, e que mostre os riscos de uma alimentação que a primeira vista pode ser muito tentadora, mas que trará malefícios ao longo dos anos. Além de agências reguladoras que possam monitorar e tentar minimizar a aparição e exploração exagerada na mídia de alimentos que comprovadamente fazem mal à saúde. ",[160 160 120 160 120 720],2018
