id,id_prompt,essay_title,essay_text,grades,essay_year,adjective_ratio,adverbs,content_words,flesch,function_words,sentences_per_paragraph,syllables_per_content_word,words_per_sentence,noun_ratio,paragraphs,sentences,words,pronoun_ratio,verbs,logic_operators,and_ratio,if_ratio,or_ratio,negation_ratio,cw_freq,cw_freq_brwac,cw_freq_bra,min_cw_freq,min_cw_freq_brwac,min_freq_brwac,min_cw_freq_bra,min_freq_bra,freq_brwac,freq_bra,hypernyms_verbs,brunet,honore,personal_pronouns,ttr,conn_ratio,add_neg_conn_ratio,add_pos_conn_ratio,cau_neg_conn_ratio,cau_pos_conn_ratio,log_neg_conn_ratio,log_pos_conn_ratio,tmp_neg_conn_ratio,tmp_pos_conn_ratio,adjectives_ambiguity,adverbs_ambiguity,nouns_ambiguity,verbs_ambiguity,yngve,frazier,dep_distance,cross_entropy,content_density,adjacent_refs,anaphoric_refs,adj_arg_ovl,arg_ovl,adj_stem_ovl,stem_ovl,adj_cw_ovl,lsa_adj_mean,lsa_adj_std,lsa_all_mean,lsa_all_std,lsa_paragraph_mean,lsa_paragraph_std,lsa_givenness_mean,lsa_givenness_std,lsa_span_mean,lsa_span_std,negative_words,positive_words,ratio_function_to_content_words,author,source,id_control,llama_grades,Competência 1 - llama_grades - exp5,Competência 2 - llama_grades - exp5,Competência 3 - llama_grades - exp5,Competência 4 - llama_grades - exp5,Competência 5 - llama_grades - exp5,Total 5 - llama_grades - exp5,Competência 1 - llama_grades - exp6,Competência 2 - llama_grades - exp6,Competência 3 - llama_grades - exp6,Competência 4 - llama_grades - exp6,Competência 5 - llama_grades - exp6,Total 5 - llama_grades - exp6,gxboost_grades
9.html,um-reu-deve-ou-nao-ser-preso-apos-a-condenacao-em-2-instancia,Sim à condenação em segunda instância,"Recentemente há uma discussão que está em andamento no Supremo Tribunal Federal, se o réu aguarda o julgamento em liberdade ou é preso no máximo em segunda instância. Muitas vezes é necessário rever o caso para não haver injustiça, pois cada caso é um caso, mas em determinados casos, quando as evidências são comprovadas na primeira instância, é necessário expedir a prisão do réu logo no início, por fazermos parte de um país que permite certas liberdades e facilidades, como por exemplo o caso do ex-presidente Luis Inácio Lula da Silva que está sendo acusado por vários processos.
Nesses últimos anos o que mais vemos e acompanhamos de notícias no país é que o mesmo está respondendo por vários processos (do sítio em Atibaia, tríplex no Guarujá, envolvimentos por receptação de benefícios por licitações, entre outros), mas como a justiça aqui no Brasil é lenta e está mais que comprovando o seu envolvimento direto nestes casos, faz-se necessária a prisão imediata para não haver a liberdade de pedir asilo político a outros países e assim permitir-se ficar livre.
Enquanto não tivermos uma justiça precisa, eficiente e certeira, todos sem exceção devem cumprir a mesma regra para que não haja injustiça perante os demais.",[120  80  80 120  40 440],2019,0.06897,0.06404,0.58621,11.87055,0.41379,1.33333,2.78992,50.75,0.28571,3,4,203,0.0936,0.16749,0.05419,0.02463,0.00493,0.00493,0.0197,696988.2605,4.73205,4.97998,1155.5,1.6515,1.6515,2.69775,2.69775,5.53871,5.7098,0.29412,10.83649,930.20934,0.0,0.71981,0.1133,0.00985,0.04433,0.0,0.04433,0.0,0.06897,0.0,0.0197,4.5,2.4,2.83333,10.43333,3.25062,7.125,155.0,0.50374,1.41667,0.0,0.0,4.0,2.5,12.66667,8.16667,7.66667,0.91946,0.05278,0.89103,0.0,0.95211,0.01412,0.92075,0.05224,0.92404,0.05475,0.22689,0.40336,0.70588,,,1,"[120, 160, 140, 180, 160, 760]",120,160,140,180,160,760,120,120,80,80,0,400,[120 120  40 120   0]
0.html,qualificacao-e-o-futuro-do-emprego,Qualificações para o mercado de trabalho,"Anos após anos uma vaga de emprego demandar cada vez mais qualificações do empregado, que na maioria das vezes concluíram o curso superior e são incapazes de trabalha nesse ramo e optam por um emprego informal. Esse fenômeno ocorre porque o mercado de trabalho se modifica constantemente de maneira que algumas profissões são extintas pois são ocupadas por maquinas.
No filme ""Estrelas além do Tempo"", de 2016, contar a história de três calculadoras humanas, que eram muito requisitadas por centros de pesquisa antes dos surgimentos das modernas calculadoras eletrônicas e dos computadores. No longa-metragem, vemos a personagem Dorothy Vougham que ao saber que a Nasa tinha comprado um novo computador que fazia 24mil cálculos por segundo, o que colocava seu emprego em risco, Dorothy resolveu aprender a programar esse mesmo computador e ensinar suas companheiras.
No mercado de trabalho e necessário está sempre se adaptando pois ele e instável fazendo com que algumas profissões sumam enquanto novas apareçam como gestores de mídias sociais.",[ 80 120 120  80  80 480],2020,0.07975,0.0184,0.57055,25.78526,0.42945,1.66667,2.98925,32.6,0.30061,3,5,163,0.11043,0.17178,0.03681,0.03681,0.0,0.0,0.0,295483.23656,4.33052,4.48268,187.4,1.6206,1.6206,1.5444,1.5444,5.37792,5.49435,0.42857,10.29408,1050.78911,0.00266,0.76109,0.10429,0.00613,0.04294,0.0,0.04294,0.0,0.04294,0.0,0.0184,3.5,2.66667,2.92857,8.8,2.79421,7.4,91.4,0.49569,1.32857,1.5,4.25,0.5,1.3,1.5,1.1,0.5,0.89244,0.01827,0.88481,0.02091,0.91318,0.00121,0.91161,0.02096,0.91478,0.02183,0.33333,0.56989,0.75269,,,2,"[120, 160, 140, 180, 160, 760]",120,160,140,180,160,760,120,160,120,120,80,600,[120 120 120 120 120]
18.html,o-brasil-e-os-imigrantes-no-mundo-contemporaneo,Gente como a gente,"O assunto de imigração ilegal é bastante delicado afinal não se pode ver apenas um lado, obviamente os governantes pensam sempre no melhor para o futuro do seu próprio país por isso muitos governantes optam por não facilitar esse processo de imigração.
Entretanto não podemos não esquecer das pessoas afinal elas não estão ali em condições precárias querendo fugir do seu país de origem apenas por não gostar, muitas daquelas pessoas estão ali tentando sobrevier algo que talvez para elas seja impossível fazer no seu próprio país, ajudar ou facilitar a entrada dessas pessoas pode ser uma boa iniciativa que consequentemente pode gerar lucro para o país e ajudar em diversos outros aspectos então dificultar a vinda dessas pessoas pode ser considerado uma falta de consideração afinal como foi dito no texto acima “o Brasil foi formado por imigrantes”, se eles ajudaram o Brasil a evoluir por que não ajudá-los agora? Essas pessoas apenas precisam de ajuda, elas apenas querem se reestabelecer, elas querem ter uma chance de poder viver de verdade uma chance de sobreviver e negar isso a elas é desumano.
Sabemos que pode ser um perigo para os nativos locais e é isso que os governantes pensam mas não podemos deixá-los esquecer de que eles podem ocasionar coisas boas porém acima de tudo que no futuro eles podem nos ocasionar, eles são seres vivos, eles são gente como a gente e se o seu próprio país o esqueceu e o fez sofrer não podemos abandoná-los também.",[120 120 120 120  80 560],2019,0.04016,0.10843,0.57831,8.97655,0.42169,1.33333,2.54861,62.25,0.18474,3,4,249,0.16064,0.24498,0.06827,0.02008,0.00803,0.00402,0.03614,595724.89583,5.13103,5.07246,311.75,2.38675,2.38675,2.3495,2.3495,5.7392,5.72304,0.50847,11.80176,653.96274,0.03993,0.68887,0.10442,0.01205,0.03213,0.0,0.05221,0.00402,0.05221,0.0,0.01606,6.22222,1.42857,2.72727,7.47368,3.81483,8.5,208.0,0.48777,1.37143,6.33333,14.33333,5.66667,6.5,12.66667,17.33333,9.0,0.96099,0.01013,0.95708,0.0,0.97484,0.00023,0.96766,0.01017,0.96819,0.01035,0.1875,0.53472,0.72917,,,3,"[120, 160, 180, 140, 160, 760]",120,160,180,140,160,760,120,160,160,120,120,680,[ 80  40 120  80   0]
19.html,um-reu-deve-ou-nao-ser-preso-apos-a-condenacao-em-2-instancia,Condenação em 2ª instância,"Ao se falar de condenação em 2ª instância o assunto traz um grande impasse, e que coloca, sobretudo, uma questão de inconstitucionalidade. As decisões sobre essas condenações vão de encontro a uma cláusula pétrea da Carta Magna, a presunção da Inocência.
Segundo levantamento realizado pelo Ministro Lewandowski, um terço dos recursos de habeas corpus, ao Supremo Tribunal de Justiça, tem suas penas revistas, partindo desse pressuposto, entende-se que as diversas possibilidades de recursos existentes no código penal brasileiro auxiliam na correção de possíveis injustiças.
Contudo, é evidente, em muitos casos, que recursos servem para postergar a penalidade do réu. Se há evidências e provas de sua autoria, não existem razões pelas quais protelar tal decisão, visto que os recursos aos tribunais superiores não tem por objetivo o julgamento individualizado do mérito. Ainda que a condenação em 2º instância venha causar inconformidade e julguem-a inconstitucional, é possível demonstrar o modo como ela vai de encontro a outros princípios constitucionais e favorece, se não aplicada, a impunidade. A exemplo desta temos o caso do jogador Edmundo que em 95 causou a morte de três pessoas em um acidente de transito, por conduzir seu veículo em alta velocidade. Após 4 anos, do fato, ele foi condenado em 1ª e em 2ª instancia. Porém, contestou novamente da decisão e interpôs recursos diversos, tantos foram que, somente depois de transcorridos mais dez anos foram concluídos.
Assim, conclui-se que a condenação em 2ª instância traz créditos positivos a justiça brasileira e o reconhecimento de que ela é efetiva, célere e colabora com a paz social.",[120 120 120 120  40 520],2019,0.07336,0.02703,0.55598,28.52179,0.44402,2.5,3.09028,25.9,0.31274,4,10,259,0.08108,0.14286,0.05019,0.03089,0.00772,0.0,0.01158,549124.70139,4.35771,4.55451,221.0,0.9984,0.93,1.563,1.2743,5.30825,5.47572,0.63889,10.69607,1508.31235,0.01056,0.80238,0.08494,0.01158,0.04247,0.00386,0.02703,0.00772,0.03475,0.0,0.01544,3.05556,1.83333,3.54167,10.09677,2.95642,7.85,66.1,0.53617,1.25217,1.11111,6.11111,0.55556,0.57778,1.11111,0.97778,0.66667,0.86675,0.05398,0.84472,0.06005,0.90834,0.00714,0.89717,0.05287,0.91086,0.04691,0.38889,0.38194,0.79861,,,4,"[160, 180, 140, 160, 180, 820]",160,180,140,160,180,820,160,160,160,160,120,760,[200 200 120 120  80]
0.html,o-brasil-e-os-imigrantes-no-mundo-contemporaneo,Desafios de um país em desenvolvimento no contexto migratório contemporâneo,"A imigração, que sempre fez parte da história e da formação dos povos, tem se tornado um problema de difícil solução. Tanto os países desenvolvidos, como os países em desenvolvimento, como o Brasil, têm encontrado diversos obstáculos na tentativa de normalizar os fluxos migratórios, cada vez mais frequentes e preocupantes.
Muitos são os motivos que levam milhões de pessoas ao redor do mundo a deixar seu país de origem, dentre os quais se destacam as crises econômicas, sociais e políticas, a exemplo da Venezuela, cujo governo nada tem feito para mudar a situação precária em que se encontra o país, tornando o crescente êxodo de seus habitantes insustentável para os países vizinhos.
Em que pese à necessidade de acolher de forma digna e humanitária os imigrantes que buscam melhores condições de vida, o Brasil tem revelado nos últimos meses insuficiência de infraestrutura e de recursos financeiros para garantir segurança e qualidade de vida tanto para os imigrantes, como para os brasileiros que passaram a conviver com essa realidade.
O Brasil deve assegurar a entrada pacífica e digna tantos dos imigrantes venezuelanos, como de quaisquer outros imigrantes que necessitem garantir a sua própria subsistência e de sua família, como forma de respeito e proteção aos direitos humanos. A fim de efetivar esses direitos, no entanto, o país tem pela frente o desafio de distribuir corretamente esses estrangeiros no território nacional e dar a eles a assistência social necessária, a fim de evitar o aumento da desigualdade social e a xenofobia.",[120 160 160 120 160 720],2019,0.08434,0.01205,0.50201,17.46672,0.49799,1.5,3.176,41.5,0.27711,4,6,249,0.11647,0.12851,0.04819,0.04418,0.0,0.0,0.0,198781.128,4.66574,4.92208,1611.0,1.823,1.823,3.30883,3.30883,5.68952,5.88518,0.4,11.11652,1300.79393,0.00113,0.69853,0.11245,0.0,0.06426,0.00402,0.06426,0.00402,0.05221,0.0,0.0,2.2,2.33333,3.47059,12.33333,3.38823,8.91667,102.5,0.4004,1.00806,0.6,3.4,3.6,2.13333,3.6,2.26667,2.4,0.9169,0.03407,0.90727,0.03233,0.95464,0.0041,0.93005,0.03955,0.93227,0.04035,0.16,0.608,0.992,,,5,"[160, 180, 140, 160, 180, 820]",160,180,140,160,180,820,160,160,160,160,120,760,[120 120 120 120 120]
15.html,o-brasil-e-os-imigrantes-no-mundo-contemporaneo,Imigração ou problematização,"É notório que, a imigração tem sido um grande obstáculo para os governos nos últimos tempos, e de hoje que existe migração entre países, mas atualmente com grandes crises, a imigração vem tomando grandes proporções que se tornam impossível suportar. O Brasil por exemplo, carrega uma crise financeira e, com um número enorme de desempregados. 
Em tempos remotos, a imigração era vista como um futuro próspero forasteiros que traziam novas experiências, oportunidade e grandes descobertas e novos empregos, como os alemães, que trouxeram a cultura de fabricar vinhos de altíssima qualidade, em tempos atuais, temos os americanos, trazendo tecnologias para à plantação de soja. A imigração era vista como uma oportunidade de crescimento, assim como acontece no estado da Bahia por exemplo, mais precisamente em Luís Eduardo Magalhães, cidade pequena, mas que tem crescida e evoluída rapidamente através da plantação de soja, isso graças aos investimentos dos imigrantes, contudo a cidade vem crescendo a renda per capita, assim melhorando a qualidade de vida daqueles que ali reside, consequentemente povoados e regiões. 
Hoje a situação é bem diferente, pois a imigração e vista como uma ameaça para o povo, já que o país passa por uma recessão gravíssima, o índice de desemprego é alarmante, há sérios problemas vários setores, tais como a saúde e outros. O governa tem tentado ajudar, fazendo pactos imigratórios, recebendo várias pessoas do país vizinho, como a Venezuela, refugiando e dando emprego a eles, mas existe uma grande preocupação, pois o Brasil já se encontra em uma situação alarmante, precisando é de ajuda, como ajudar os países vizinhos. O Brasil possui atualmente cerca de 450 mil desempregados, dessa forma, ao invés de ajudar o país vizinho, vai ser o inverso, vai é atrapalhar tanto eles como sua própria nação. 
Sendo assim, nota-se que o ideal seria arrumar a pátria, ou seja, levando ao pé da letra a constituição, com saúde, educação, saneamento básico, moradia para todos, depois fornecer ajuda aos países vizinhos, pois se não há expectativa de vida, não tem como oferecer algo ao próximo.",[120 200 160 120 120 720],2019,0.09145,0.0649,0.59587,15.41199,0.40413,2.0,2.87129,42.375,0.26254,4,8,339,0.059,0.17699,0.0354,0.02655,0.00295,0.0,0.0059,376776.15347,4.7288,4.92323,1501.625,2.05925,1.8265,3.12025,2.67275,5.52878,5.6738,0.44643,11.45748,901.67117,0.00633,0.7495,0.15339,0.0118,0.07965,0.00295,0.0885,0.00295,0.07965,0.0,0.0236,6.03333,2.93333,2.68182,11.33962,3.98414,8.5,160.625,0.46565,1.47445,0.57143,4.14286,2.14286,1.53571,4.85714,4.07143,2.85714,0.93033,0.03126,0.92561,0.01266,0.95609,0.00584,0.94879,0.01499,0.95551,0.01778,0.26733,0.4802,0.67822,,,6,"[120, 160, 140, 180, 100, 700]",120,160,140,180,100,700,120,120,80,80,0,400,[120 120  80 160   0]
1.html,qualificacao-e-o-futuro-do-emprego,Qualificação será o futuro do emprego,"Hoje em dia a taxa de desemprego esta muito alta, isso é fato, mas não acho que seja realmente por falta de oportunidades, mas sim por falta de qualificação, existem muitos desempregados hoje, imagina futuramente! Parte da população hoje não possui ensino superior, o que ja é bem exigido, entre pessoas que tem ensino superior e pessoas que tem uma pós graduação, provavelmente vai contratar a pessoa que tem uma pós graduação.
Agora vamos falar do futuro que nós espera. Estamos no século da tecnologia e inovação onde cada vez mais maquinas ocupam o lugar de alguém, não só por falta de qualificação, mas também pela substituição de pessoas por maquinas. Também acho importante destacar que isso não so por deixar uma pessoa desempregada mas também faz com que á empresa economise dinheiro e tempo, sendo assim possa produzir mais.
Para finalizar acho importante dizer então que futuramente sem qualificação, o desemprego tenha uma taxa bem mais elevada que atualmente. Espero que as pessoas dê mais valor para os estudos, já que atualmente a taxa de jovens sem estudos é bem alta.",[ 80  80  40  40  40 280],2020,0.06593,0.14835,0.63736,45.80764,0.36264,2.33333,2.55172,26.0,0.23077,3,7,182,0.07692,0.19231,0.03846,0.01648,0.0,0.0,0.02198,521264.06897,5.13585,5.21321,9820.71429,2.586,2.586,3.32614,3.32614,5.74093,5.80927,0.13333,11.14295,665.46546,0.00952,0.70289,0.1044,0.02198,0.03846,0.0,0.03297,0.0,0.02747,0.0,0.02198,3.54545,2.86957,2.82927,12.54839,3.03007,9.21429,64.28571,0.53878,1.75758,0.0,0.0,0.83333,0.95238,2.83333,2.7619,2.33333,0.89423,0.05758,0.89626,0.0378,0.95749,0.00617,0.92594,0.0365,0.93356,0.03512,0.25,0.47414,0.56897,,,7,"[80, 120, 100, 80, 100, 480]",80,120,100,80,100,480,120,120,80,80,0,400,[120 120  80  80   0]
9.html,um-reu-deve-ou-nao-ser-preso-apos-a-condenacao-em-2-instancia,Sim à condenação em segunda instância,"Recentemente há uma discussão que está em andamento no Supremo Tribunal Federal, se o réu aguarda o julgamento em liberdade ou é preso no máximo em segunda instância. Muitas vezes é necessário rever o caso para não haver injustiça, pois cada caso é um caso, mas em determinados casos, quando as evidências são comprovadas na primeira instância, é necessário expedir a prisão do réu logo no início, por fazermos parte de um país que permite certas liberdades e facilidades, como por exemplo o caso do ex-presidente Luis Inácio Lula da Silva que está sendo acusado por vários processos.
Nesses últimos anos o que mais vemos e acompanhamos de notícias no país é que o mesmo está respondendo por vários processos (do sítio em Atibaia, tríplex no Guarujá, envolvimentos por receptação de benefícios por licitações, entre outros), mas como a justiça aqui no Brasil é lenta e está mais que comprovando o seu envolvimento direto nestes casos, faz-se necessária a prisão imediata para não haver a liberdade de pedir asilo político a outros países e assim permitir-se ficar livre.
Enquanto não tivermos uma justiça precisa, eficiente e certeira, todos sem exceção devem cumprir a mesma regra para que não haja injustiça perante os demais.",[120  80  80  80  80 440],2019,0.06897,0.06404,0.58621,11.87055,0.41379,1.33333,2.78992,50.75,0.28571,3,4,203,0.0936,0.16749,0.05419,0.02463,0.00493,0.00493,0.0197,696988.2605,4.73205,4.97998,1155.5,1.6515,1.6515,2.69775,2.69775,5.53871,5.7098,0.29412,10.83649,930.20934,0.0,0.71981,0.1133,0.00985,0.04433,0.0,0.04433,0.0,0.06897,0.0,0.0197,4.5,2.4,2.83333,10.43333,3.25062,7.125,155.0,0.50374,1.41667,0.0,0.0,4.0,2.5,12.66667,8.16667,7.66667,0.91946,0.05278,0.89103,0.0,0.95211,0.01412,0.92075,0.05224,0.92404,0.05475,0.22689,0.40336,0.70588,,,8,"[120, 160, 140, 180, 160, 760]",120,160,140,180,160,760,120,120,80,80,0,400,[120 120  40 120   0]
19.html,qualificacao-e-o-futuro-do-emprego,Qualificação Coerente,"O cenário do desemprego tem gerado desconforto e insegurança na rotina daqueles que fazem parte dessa estatística negativa, o indivíduo que se encontra nessa situação busca fazer o que pode, no intuito de se tornar qualificado, para que o mercado de trabalho o valorize. Porém, até que ponto é possível compreender os avanços que o mercado de serviço tem carregado com os tempos vindouros e continuar se qualificando de acordo com as exigências propostas?
Através dos diversos meios de comunicação não fica perceptível apenas o alto índice de desemprego, mas também a importância que os inativos tem atribuído a qualificação. Em uma das edições do Jornal Nacional da Rede Globo, foi apresentado no universo do desemprego o alto número de pessoas desqualificadas buscando completar os seus estudos do Ensino Fundamental e Médio, a conclusão do Ensino Superior e aqueles já certificados nesse último se projetando para o início de uma especialização.
Qualificar-se significa aprimorar para exercer melhor uma determinada função, esse é um papel que vem sendo muito bem desenvolvido com o avanço da tecnologia e gerando aprimoramentos em máquinas, isso faz com que o trabalho exercido por seres humanos perca informação e atualização, dessa forma a pessoa desempregada fica presa a recursos arcaicos que o mercado de trabalho tem desprezado, que aplica soluções inovadoras, mas sem informar como o indivíduo pode adquirir espaço dentro desse novo ambiente profissional.
O cidadão busca a qualificação, procura se atualizar, mas fica inseguro por não compreender este novo universo que vem sofrendo avanços cada vez mais rápido e superiores aos tempos passados. Não é necessário uma análise profunda para perceber o alto grau de importância que o avanço da tecnologia gerou no mundo, mas também é inegável que se criou um desconforto para aqueles que não compreendem esse avanço e apesar de desqualificados pelo mercado de trabalho precisam sobreviver e mais do que isso, viver dignamente. Existe um erro que é distanciar o indivíduo do avanço e da tecnologia enquanto esses deveriam se complementarem. O mercado de trabalho atualizando a sociedade com relação aos novos avanços e apontando um norte mais viável para as novas adequações, o indivíduo desempregado, pode optar por uma qualificação mais exata e não precisa ficar limitado por não entender as mudanças que o mercado sofre. ",[ 80 120 120  80  80 480],2020,0.06101,0.0504,0.5756,10.4138,0.4244,2.25,3.07373,41.88889,0.25199,4,9,377,0.1061,0.2122,0.0504,0.03183,0.00265,0.0,0.01592,465562.14747,4.79143,4.96741,595.88889,2.31344,2.31344,2.79211,2.79211,5.65206,5.78626,0.64,11.6918,1116.41459,0.0,0.76759,0.11936,0.01326,0.04509,0.00265,0.0557,0.00265,0.03979,0.00265,0.00796,4.73913,2.6875,3.64516,8.77419,3.31062,7.88889,116.33333,0.47731,1.35625,0.0,0.0,3.0,4.16667,2.875,3.80556,2.125,0.93128,0.02592,0.93103,0.0246,0.95182,0.01806,0.95366,0.02246,0.95822,0.02198,0.21659,0.52074,0.73733,,,9,"[160, 120, 140, 180, 160, 760]",160,120,140,180,160,760,160,160,120,120,80,640,[160 200 160 160 200]
7.html,um-reu-deve-ou-nao-ser-preso-apos-a-condenacao-em-2-instancia,Presunção de inocência: garantia básica de um Estado democrático de direito,"A jurisdição brasileira é representada por diversas instâncias, ou seja, a utilização de recursos faz com que o processo atinja até a 4° grau, representado pelo Supremo Tribunal Federal. Ocorre que, o mesmo está julgando o mérito de três Ações Diretas de Constitucionalidade, afim de declarar constitucional o Artigo 283 do Código de Processo Penal. O resultado do julgamento será pela permissão, ou não, da prisão em segunda instância.
A Constituição Federal de 1988 representa o texto de maior hierarquia presente no ordenamento pátrio e, por isso possui certa ""rigidez"", sofrendo uma série de limitações que impedem a sua modificação, como por exemplo a impossibilidade de suprimir Direitos e Garantias Fundamentais de seu texto. Em seu Artigo 5º, a Constituição traz um rol de garantias e dentre elas está a presunção de inocência, ou seja, a garantia de que ninguém será considerado culpado, sem sentença penal condenatória transitada em julgado. Em complementação, o Código de Processo Penal, com intuito de viabilizar o direito constitucionalmente previsto, expressou em seu Artigo 283 que, a prisão deve ser realizada em decorrência de sentença condenatória transitada em julgado, salvo as exceções da prisão temporária e preventiva.
O respeito às garantias constitucionalmente previstas constitui princípio básico de um Estado Democrático de Direito e tem como consequência a segurança jurídica. A implementação de Pena Privativa de Liberdade em indivíduos que ainda não foram considerados culpados, uma vez que a culpa só ocorre no transito em julgado, representa grave risco à a toda definição de Estado que foi construída. Sabe-se, ainda, que a Constituição Federal foi criada no contexto histórico do pós ditadura, e portanto estabelece inúmeras proteções ao indivíduo, estabelecendo expressamente que só há condenação com o trânsito em julgado, ou seja, após a decisão definitiva.
A possibilidade de prisão em segunda instância, resulta no adiantamento da culpa, de forma à responsabilizar criminalmente um indivíduo que, no ponto de vista legal, ainda é inocente. O STF como guardião da Constituição ao decidir pela inconstitucionalidade da norma constante no Artigo 283 do supramencionado Código, dará margem para uma interpretação normativa na qual excluirá completamente o contexto histórico no qual a Constituição foi criada.",[120 120 120 120  80 560],2019,0.06742,0.05618,0.60955,12.32804,0.39045,2.75,3.18894,32.36364,0.3427,4,11,356,0.05618,0.14326,0.02809,0.01685,0.0,0.00281,0.00562,1083998.10599,4.17579,4.71511,789.54545,1.15291,1.15291,1.45845,1.45845,5.22191,5.59854,0.80851,11.69457,926.08185,0.00389,0.72584,0.06742,0.00843,0.03652,0.0,0.02809,0.00843,0.0309,0.0,0.00281,2.0,4.1,3.85849,9.88889,3.34303,7.31818,82.45455,0.51579,1.56115,0.2,0.4,1.4,1.25455,2.7,2.21818,2.0,0.85543,0.05819,0.86191,0.04777,0.95956,0.00969,0.90839,0.03465,0.92715,0.03962,0.45622,0.49309,0.64055,,,10,"[1, 140, 2, 160, 3, 168]",1,140,2,160,3,168,160,200,200,160,120,840,[200 200 200 200 200]
