id,id_prompt,essay_title,essay_text,grades,essay_year,adjective_ratio,adverbs,content_words,flesch,function_words,sentences_per_paragraph,syllables_per_content_word,words_per_sentence,noun_ratio,paragraphs,sentences,words,pronoun_ratio,verbs,logic_operators,and_ratio,if_ratio,or_ratio,negation_ratio,cw_freq,cw_freq_brwac,cw_freq_bra,min_cw_freq,min_cw_freq_brwac,min_freq_brwac,min_cw_freq_bra,min_freq_bra,freq_brwac,freq_bra,hypernyms_verbs,brunet,honore,personal_pronouns,ttr,conn_ratio,add_neg_conn_ratio,add_pos_conn_ratio,cau_neg_conn_ratio,cau_pos_conn_ratio,log_neg_conn_ratio,log_pos_conn_ratio,tmp_neg_conn_ratio,tmp_pos_conn_ratio,adjectives_ambiguity,adverbs_ambiguity,nouns_ambiguity,verbs_ambiguity,yngve,frazier,dep_distance,cross_entropy,content_density,adjacent_refs,anaphoric_refs,adj_arg_ovl,arg_ovl,adj_stem_ovl,stem_ovl,adj_cw_ovl,lsa_adj_mean,lsa_adj_std,lsa_all_mean,lsa_all_std,lsa_paragraph_mean,lsa_paragraph_std,lsa_givenness_mean,lsa_givenness_std,lsa_span_mean,lsa_span_std,negative_words,positive_words,ratio_function_to_content_words
9.html,carnaval-e-apropriacao-cultural,Apropriação cultural significa uma pessoa...,"Apropriação cultural significa uma pessoa poder usar elementos de outras cultura como roupas, símbolos e vários outros elementos. Que tenham algum significado para determinada cultura.
Ao usar em um festival como carnaval a ""fantasia"" de índio estará cometendo apropriação cultural, sim estará pois não á nem um indígena no local que permitiu fazer o uso da sua cultura. Apropriação cultural só acontece quando você faz o uso da cultura sem a permissão do grupo e quando a zombam.
Mas se você fizer o uso dos elementos da cultura no meio daquele povo com o consenso deles, até eles se agradaram pois mostrará como uma forma de respeito e interesse pela cultura.
Apropriação cultural foi um tema muito debatido após o carnaval de 2020 onde houve até famosos que fizeram esta atitude.",[0 0 0 0 0 0],2020,0.03817,0.0458,0.54198,42.62073,0.45802,1.5,2.83099,21.83333,0.29008,4,6,131,0.12214,0.16794,0.03817,0.0229,0.00763,0.0,0.01527,203894.88732,4.78299,4.86217,7038.16667,2.614,2.614,2.813,2.813,5.62681,5.68406,0.71429,10.31197,800.88088,0.03,0.69969,0.12977,0.00763,0.0458,0.0,0.0687,0.00763,0.05344,0.0,0.0229,0.2,2.33333,4.21622,10.52632,2.75942,7.5,41.0,0.5012,1.18333,0.0,1.2,2.0,2.0,2.4,2.6,1.8,0.89848,0.01238,0.88053,0.00489,0.92544,0.01454,0.91404,0.0236,0.92045,0.02386,0.16901,0.57746,0.84507
4.html,disciplina-ordem-e-autoridade-favorecem-a-educacao,Educação vem de casa,"Antigamente a disciplina era cobrada nas escolas para obter bons resultados dos alunos. Mas infelizmente os tempos mudaram e hoje os estudantes estão se rebelando e se destacando entre os piores. Mas a culpa não seria primeiramente de casa? Até que ponto essa indisciplina chegará?O início de tudo é com os pais, pois a educação vem do lar, então cabe a eles educar e ensinar seus filhos respeitarem as autoridades. Se ali não são disciplinados a escola não será totalmente responsável pelos maus atos desse aluno.Contudo, sabe-se que a responsabilidade de agir com ordem e autoridade está na direção das escolas, pois é lá que preparam os jovens para o mundo. Se não for ensinado o respeito no ambiente escolar, não é do lado de fora que vão exercê-lo pelo contrário serão desrespeitados e o colégio ficará de mau exemplo para os próximos a estudar. Portanto, pode-se concluir que a educação vem primeiramente dos pais, mas a ordem, a autoridade e a disciplina nas escolas favorecem completamente o comportamento dos alunos. Se em casa não são ensinados o mundo os ensinará da pior maneira. Como diz a frase de um filósofo “Eduque as crianças e não será necessário punir os adultos”.",[ 80  40  40  80  40 280],2015,0.03465,0.09406,0.57921,46.8024,0.42079,9.0,2.79487,22.44444,0.25743,1,9,202,0.0396,0.19307,0.08416,0.03465,0.01485,0.0,0.03465,783529.40171,4.92934,4.96186,1808.77778,2.59978,2.59978,2.594,2.594,5.71424,5.778,0.58974,10.87918,975.93208,0.00612,0.75233,0.14356,0.0198,0.0396,0.0,0.07426,0.00495,0.06436,0.00495,0.0099,3.85714,1.72222,4.16327,9.17647,2.71057,8.27778,54.44444,0.558,1.37647,0.125,1.0,0.0,0.30556,1.5,1.66667,0.875,0.87438,0.04699,0.86103,0.04878,0,0,0.90158,0.05289,0.91057,0.05194,0.31624,0.44444,0.7265
9.html,perigos-do-universo-digital,A face obscura da internet,"Uma das maiores preocupações dos pais, nos últimos anos, é encontrar maneiras para proteger seus filhos contra os perigos da internet, já que a facilidade para acessar este ambiente e disseminar informações de forma indiscriminada pode trazer consequências muito negativas à vida de crianças e adolescentes.
Prova disso é a quantidade crescente de jovens que sofrem ""bullying"" ou que tem sua intimidade exposta através da internet, levando muitos deles a caírem em depressão ou até mesmo a cometerem suicídio, tamanho o impacto que tais ataques têm em suas vidas. Os agressores, na maioria dos casos, também são jovens e fazem parte do círculo social da vítima, sendo que muitos não tem plena consciência do mal que estão praticando. O anonimato propiciado pela internet também facilita a ação de pedófilos que criam perfis falsos nas redes sociais para se aproximarem de crianças, incitando-as a compartilharem fotos e vídeos para satisfazer seus desejos pervertidos.
Neste cenário, muitos pais perguntam sobre qual a melhor maneira de defender seus filhos, já que é difícil impedi-los de acessarem a internet através de computadores e celulares, dada a ampla disponibilidade de tais aparelhos. Forçá-los a fornecer senhas de redes sociais ou instalar filtros nos navegadores não é o suficiente, pois muitos dão um jeito de burlar as regras impostas por seus pais. O melhor caminho, portanto, ainda é dialogar com os filhos sobre a importância do respeito ao próximo e da preservação da própria intimidade ao usar a internet, alertando-os sobre as ameaças ocultas no vasto universo cibernético.
Por fim, a sociedade não pode esperar que a tarefa de proteger crianças e jovens contra os perigos da internet seja feita apenas pelas escolas e pelo poder público. É fundamental que os pais estreitem os laços de confiança e amizade com seus filhos, pois o diálogo em família ainda é a melhor arma para diminuir o número de vítimas e agressores no mundo virtual.",[ 200  200  200  200  200 1000],2017,0.0694,0.04101,0.57413,26.80432,0.42587,2.25,2.91758,35.22222,0.29653,4,9,317,0.07886,0.16719,0.05047,0.03155,0.0,0.00946,0.00946,423445.52747,4.82712,4.76592,871.44444,2.40567,2.40567,2.42744,2.42744,5.65241,5.65068,0.59184,11.2555,1085.68709,0.0,0.77096,0.10095,0.00631,0.04101,0.0,0.04416,0.00631,0.02208,0.0,0.01262,2.90909,4.28571,3.07955,10.18605,3.30177,7.83333,86.88889,0.43655,1.34815,2.0,6.875,1.375,1.58333,2.125,2.5,1.25,0.90696,0.03145,0.90425,0.03181,0.95316,0.00292,0.93741,0.01455,0.943,0.01512,0.45055,0.54396,0.74176
9.html,escravizar-e-humano,A persistência da escravidão,"A escravidão é um fato decorrente há séculos e ainda se faz presente. Principalmente por pessoas com baixa renda e grau de escolaridade, com isso perde sua liberdade e contudo seus direitos, ocorre com mais frequência em países pobres e nos países ricos é mais comum entre rivalidades de empresas.
Mesmo com tantos avanços da humanidade, a escravidão não foi abolida mas um pouco esquecida. Os dados apontados demonstram o quanto é contínuo, em muitos os fatos a escravidão moderna não tem todas as proporções do passado, mas traz consigo a principal consequência, de não se sentir humano e cidadão.
A liberdade na qual é imposta para todos os cidadãos, sobretudo o escravizado não leva consigo o mesmo. Levando em prática uma vida baseada no trabalho forçado em alguns dos fatos com baixo salário e mais persistente sem remuneração alguma.
Em muitos os casos a sociedade se omite para expressar essa realidade, é preciso tomar iniciativas pelo combate em abolição a escravidão. Apoios à ""walk free"" fundação na qual tem o incentivo com o fim da escravidão. O sujeito merece total apoio e ajuda. Afinal todos temos direitos e aqueles que por consequência-os perdem, é preciso ter o consentimento na ajuda de fazer essas pessoas se sentirem o humano que devem ser.",[ 80  80 120 120  40 440],2016,0.07075,0.06132,0.56604,45.34719,0.43396,2.5,2.81667,21.2,0.26415,4,10,212,0.13679,0.16981,0.0566,0.03774,0.0,0.0,0.01887,611219.625,4.97095,5.02286,4492.9,2.9013,2.8561,3.1711,3.1711,5.697,5.76738,0.37143,10.79025,965.78186,0.0,0.76124,0.11321,0.01887,0.03774,0.00472,0.0566,0.00943,0.0283,0.0,0.0,3.8,2.5,3.78431,12.53333,3.04646,7.55,54.3,0.55632,1.30435,0.0,0.44444,0.33333,0.55556,1.22222,1.24444,1.0,0.87635,0.03327,0.87355,0.03576,0.95809,0.01061,0.91371,0.0341,0.92299,0.03515,0.2,0.35,0.76667
9.html,um-reu-deve-ou-nao-ser-preso-apos-a-condenacao-em-2-instancia,Sim à condenação em segunda instância,"Recentemente há uma discussão que está em andamento no Supremo Tribunal Federal, se o réu aguarda o julgamento em liberdade ou é preso no máximo em segunda instância. Muitas vezes é necessário rever o caso para não haver injustiça, pois cada caso é um caso, mas em determinados casos, quando as evidências são comprovadas na primeira instância, é necessário expedir a prisão do réu logo no início, por fazermos parte de um país que permite certas liberdades e facilidades, como por exemplo o caso do ex-presidente Luis Inácio Lula da Silva que está sendo acusado por vários processos.
Nesses últimos anos o que mais vemos e acompanhamos de notícias no país é que o mesmo está respondendo por vários processos (do sítio em Atibaia, tríplex no Guarujá, envolvimentos por receptação de benefícios por licitações, entre outros), mas como a justiça aqui no Brasil é lenta e está mais que comprovando o seu envolvimento direto nestes casos, faz-se necessária a prisão imediata para não haver a liberdade de pedir asilo político a outros países e assim permitir-se ficar livre.
Enquanto não tivermos uma justiça precisa, eficiente e certeira, todos sem exceção devem cumprir a mesma regra para que não haja injustiça perante os demais.",[120  80  80 120  40 440],2019,0.06897,0.06404,0.58621,11.87055,0.41379,1.33333,2.78992,50.75,0.28571,3,4,203,0.0936,0.16749,0.05419,0.02463,0.00493,0.00493,0.0197,696988.2605,4.73205,4.97998,1155.5,1.6515,1.6515,2.69775,2.69775,5.53871,5.7098,0.29412,10.83649,930.20934,0.0,0.71981,0.1133,0.00985,0.04433,0.0,0.04433,0.0,0.06897,0.0,0.0197,4.5,2.4,2.83333,10.43333,3.25062,7.125,155.0,0.50374,1.41667,0.0,0.0,4.0,2.5,12.66667,8.16667,7.66667,0.91946,0.05278,0.89103,0.0,0.95211,0.01412,0.92075,0.05224,0.92404,0.05475,0.22689,0.40336,0.70588
16.html,cantar-ou-nao-cantar-o-hino-nacional-eis-a-questao,A importância do patriotismo,"Sabe-se que a valorização nacional é algo fundamental em uma nação, isso estimula os fundamentos ético morais do cidadão. O ato de cantar o hino nacional desperta um sentimento de amor à pátria e proporciona um efeito de responsabilidade, onde todos devem proteger as nossas riquezas e cuidar da nossa gente.
Toda criança deveria ser estimulada a cantar o hino, desta forma, elas iriam crescer valorizando a nação e teriam uma formação educacional de qualidade, sabendo das suas obrigações e executando os seus deveres. Cantarolar a canção nacional é importante e deveria ser em todas as escolas, pois ensina valores aos seus alunos.
Um grande exemplo de patriotismo, onde se prega a valorização da responsabilidade e dos ensinamentos morais, são os militares. As instituições de ensino militar têm um nível de educação superior aos demais colégios, isso se deve ao aprendizado, que desde cedo são ensinados a ter respeito, demonstrando interesse na formação da cidadania.
Portanto, é indispensável o cantar do hino nacional nas escolas, pois ele é importante para o futuro, onde as pessoas irão ter respeito umas com as outras e serão mais educadas. É essencial a formação moral dos cidadãos, e o hino ressalta a obrigação de cada um com a sua pátria.",[120 120 120 120  80 560],2019,0.08252,0.01456,0.54369,33.37545,0.45631,2.0,3.0625,25.75,0.25243,4,8,206,0.11165,0.19417,0.03883,0.03883,0.0,0.0,0.0,409100.23214,4.86204,4.93163,1416.75,3.41575,3.41575,3.40375,3.40375,5.71019,5.75765,0.75676,10.94157,800.47298,0.00963,0.77159,0.08252,0.0,0.03883,0.0,0.04369,0.0,0.01942,0.0,0.0,3.35294,4.0,3.47059,9.7027,2.84169,8.0,60.5,0.47596,1.19149,0.85714,2.0,0.57143,0.60714,2.42857,2.39286,1.57143,0.8745,0.02958,0.8833,0.03351,0.94123,0.00225,0.91533,0.0352,0.92391,0.03803,0.20536,0.79464,0.83929
18.html,disciplina-ordem-e-autoridade-favorecem-a-educacao,Escola militar!,"Em uma época na qual vivemos hoje, onde o maior índice de drogas é na porta das escolas, acredito que a educacao militar de forma rigida, porem aberta a ouvir os alunos, seria talvez a solucao para o problema de adolescentes com as drogas a sua disposicao e ainda diminuiria o indice de pessoas pouco qualificadas para vagas de emprego.A diciplina dos militares de certa forma deve mudar a perspectiva dos alunos em relacao a forma de levar a propria vida.Hoje tenho 26 anos e estou buscando minha formacao, se meus pais tivessem sido rigidos comigo na epoca do colegial, jamais teria deixado de estudar para trabalhar, e hoje já estaria formada e exercendo a funcao escolhida e trabalhando num cargo a nivel superior. ",[0 0 0 0 0 0],2015,0.02419,0.05645,0.58871,-59.87016,0.41129,1.0,2.84932,124.0,0.28226,1,1,124,0.05645,0.22581,0.05645,0.04032,0.00806,0.0,0.00806,248195.0137,4.34992,4.42289,0.0,0.0,0.0,0.0,0.0,5.34906,5.42089,0.46154,9.83403,1604.95663,0.0,0.7648,0.09677,0.00806,0.04032,0.0,0.04032,0.00806,0.03226,0.0,0.00806,2.0,3.28571,2.95238,11.95,5.23529,8.0,447.0,0.5521,1.43137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23288,0.58904,0.69863
14.html,a-fe-e-decisiva-para-uma-vida-melhor,Desejo pelo Sucesso,"Hoje em dia a maioria dos brasileiros veem a fé religiosa como o meio mais provável de alcançar o sucesso na vida, isso pode estar ligado ao de que essas pessoas não encontram na forma de ensino das escolas algo atrativo que traga oportunidades para que elas possam ter um futuro próspero.
Bom, essa forma de pensamento está enraizada na cultura brasileira desde o século XVII, onde as pessoas buscavam intensamente a religiosidade para se obter a salvação e sucesso na vida; mesmo vivendo em completa desarmonia entre a vida religiosa e os prazeres da vida terrena, essa desarmonia ficava por conta do Cultismo e o Conceptismo; o fato de as pessoas acreditarem mais na religiosidade do que na educação não deve ser encarado como um problema desde que não abandonem completamente a educação para se dedicar completamente a vida religiosa, mesmo sendo preciso para a mentalidade humana acreditar numa coisa positiva.
Para que se evite possíveis ""desarmonias"" é necessário o empenho do ministério da educação desenvolver campanhas que incentivem e valorizem a educação como um dos principais pilares para um futuro próspero sem ferir as crenças da população, já que algo que as incentivam na vida. Como por exemplo no estado de Alagoas onde foi criado o sistema de escolas integradas que desenvolvem atividades que ofertam cursos profissionalizantes para os alunos que começam a ver a escola como um local que iram aprender algo a mais além das disciplinas tradicionais já que mercado de trabalho não fica satisfeito apenas o tradicional mas sim com o diferenciado.",[ 80  80  80  80  80 400],2019,0.07782,0.07004,0.55253,-8.62155,0.44747,1.33333,3.11972,64.25,0.24903,3,4,257,0.08171,0.15564,0.03502,0.01556,0.0,0.0,0.01556,381146.26761,4.79635,4.85782,64.0,1.35625,1.35625,1.9375,1.9375,5.68796,5.77979,0.62162,11.36134,944.94746,0.00297,0.70595,0.10895,0.00389,0.03891,0.0,0.07004,0.0,0.06615,0.0,0.01167,3.3,2.5,4.31148,7.91176,4.15385,9.0,156.25,0.43666,1.23478,0.0,0.0,9.0,6.0,9.33333,6.5,7.0,0.93377,0.01386,0.93518,0.0,0.94028,0.01299,0.9454,0.00651,0.95438,0.00304,0.21831,0.60563,0.80986
2.html,criptomoeda-tecnologia-e-revolucao-economica,O novo sistema financeiro mundial,"Ao longo da história da humanidade o dinheiro assumiu diversas formas, uma das primeiras foram as moedas rudimentares de ouro e prata, depois surgiram os bancos que assumiram a responsabilidade de guardar esse recurso e também de controlar sua emissão junto ao governo. Uma nova forma de moeda surgiu em 2009, a bitcoin, uma criptomoeda descentralizada que não depende das regras dos órgãos reguladores. É fato que tal feito é uma revolução econômica e tecnológica mundial.
Após o lançamento da bitcoin outras criptomoedas foram criadas a partir dela, o que facilita o acesso a essa inovação. Por serem novas ainda não possuem uma regulamentação governamental, o que permite pleno controle de cada indivíduo sobre seu capital. A novidade toma dos bancos a autoridade de controlar a riqueza, proporcionando uma maneira diferente de operar o dinheiro que não depende de serviços secundários e diminui os custos de taxas; isso impede qualquer órgão de confiscar o montante do sujeito. Dessa maneira dívidas com bancos podem ser extintas, o que ameniza crises econômicas e beneficiam os setores sociais.
As criptomoedas não pertencem a um país, portanto são de fácil circulação e mundiais, o que possibilita compras e transações com maior rapidez e sem difíceis conversões. A criação de criptomoedas não depende de órgão governamentais, isentando-as de medidas protecionistas. Essa mudança permite que conflitos políticos e econômicos sejam aplacados uma vez que as grandes disparidades entre as diferentes moedas centralizadas não existirão.
Ao analisar os fatos mencionados conclui-se que o fenômeno dessa revolução econômica não pode ser evitado, uma vez que elaboração é feita por grupos independentes livres de regras do mundo bancário. Portanto, na transformação no mundo econômico os bancos sairão prejudicados já que sua existência chega ao fim a menos que se adaptem e encontrem seu espaço na hodierna realidade. Tais entidades serão substituídas pelos formuladores das novas moedas que assumem um papel divergente do anterior. A política terá que se amoldar ao novo sistema financeiro monitorado descomplicadamente pela massa populacional.",[160 120 160 160   0 600],2019,0.10638,0.03951,0.58055,26.9825,0.41945,3.5,3.12042,23.5,0.2614,4,14,329,0.10638,0.17325,0.05775,0.0304,0.0,0.0,0.02128,349144.6178,4.57235,4.60529,2638.78571,2.04286,2.04286,1.98721,1.98721,5.47142,5.55514,0.64151,11.09252,1205.91245,0.0,0.76026,0.07599,0.00304,0.03343,0.00304,0.02736,0.00608,0.01824,0.0,0.00912,3.4,2.18182,3.67532,8.15217,2.58288,7.5,45.71429,0.49566,1.38406,0.30769,1.0,1.0,0.82418,1.23077,1.05495,0.61538,0.88337,0.04279,0.87878,0.03751,0.96748,0.0042,0.9235,0.03078,0.9336,0.02873,0.28272,0.42932,0.72251
12.html,a-ciencia-na-era-da-pos-verdade,O fato de negar os fatos,"A palavra ""pós-verdade"" foi definida como o termo do ano segundo o dicionário de Oxford em 2016. Ela representa uma época em que os fatos objetivos têm menos influência e importância que os apelos às emoções e crenças pessoais. Dessa forma, grandes veículos de comunicação estão passando por uma crise de credibilidade, onde as pessoas passam a duvidar e questionar fatos sólidos. Nesse contexto, nem mesmo a ciência passa despercebida e acaba tendo uma desconfiança popular, culminando na disseminação de notícias falsas e na desinformação da sociedade.
À medida que as pessoas passam a dar mais valor à sua subjetividade, a circulação de notícias falsas tendem a aumentar, já que elas se constroem muito facilmente nas redes sociais que são muito presentes na vida moderna. Para ilustrar o tema, temos como exemplo o movimento terraplanista, propagado pelo norte-americano Eric Dubay. As primeiras ideias começaram a ser discutidas no YouTube e Facebook nos Estados Unidos, que alcançou mais de 100 mil seguidores. Fica nítido que as conquistas científicas que comprovam a esfericidade da Terra são superadas por um discurso persuasivo, através do qual vários indivíduos julgaram correto de acordo com sua percepção.
Com a avalanche de notícias e opiniões que nos cercam todos os dias nas mídias, tornou-se automático distinguir o verdadeiro do falso, gerando desinformação na sociedade. Para o historiador Leandro Karnal, a pós-verdade é uma ""seleção afetiva de identidade"", em que as pessoas se identificam com as notícias que melhor se adaptam aos seus conceitos. Ou seja, ainda no exemplo do movimento terraplanista, mesmo sendo refutavelmente comprovado pela ciência, há quem leia os argumentos de Eric Dubay e os abrace como verdadeiros de acordo com seu atual nível de noção. Dessa forma a sociedade vai ficando desinformada uma vez que cada um chega em um consenso diferente.
Portanto é necessário a construção de uma hierarquia de saberes que seja respeitada por todos para que não haja uma exacerbação de ideias e conceitos distintos que possam atrasar a evolução tecnológica da ciência. É inegável que a informação chega a muitas pessoas e, com tantas opções de escolher uma veracidade, as escolhas individuais acabam sendo influenciadas com base no conforto e acolhimento de um grupo social. Por isso é importante que pessoas qualificadas em conhecimentos determinem minunciosamente através de métodos e técnicas as verdades, para que elas possam ser globalmente confiáveis.",[160 200 160 160 200 880],2019,0.07692,0.03846,0.54615,27.865,0.45385,3.75,3.15023,26.0,0.26154,4,15,390,0.09744,0.16923,0.0359,0.03077,0.0,0.0,0.00513,262480.20188,4.47118,4.54219,763.8,2.1432,2.01213,2.12453,2.02207,5.48564,5.58138,0.57895,11.36471,1088.24713,0.00423,0.78244,0.10256,0.00256,0.04615,0.0,0.06154,0.00513,0.03333,0.0,0.00256,4.51852,3.57143,3.80645,11.03704,2.78733,8.1,58.4,0.50083,1.20339,0.35714,0.71429,0.57143,0.75238,1.14286,0.87619,0.5,0.89443,0.04045,0.88607,0.05105,0.97111,0.00402,0.92924,0.04203,0.93754,0.04382,0.24883,0.56808,0.83099
